ACC_X,ACC_Y,ACC_Z
8076,4238,12722
8076,4238,12722
8076,4238,12722
8300,5370,12110
8420,5500,11610
8420,5500,11610
8420,5500,11610
8352,5246,13580
8352,5246,13580
8352,5246,13580
8920,5308,13776
8920,5308,13776
9256,4054,12528
9698,4812,11832
9698,4812,11832
9698,4812,11832
9030,5368,11424
9030,5368,11424
9030,5368,11424
7750,4348,10312
7750,4348,10312
7958,4050,11330
7958,4050,11330
8600,6380,11454
8600,6380,11454
8600,6380,11454
8212,5088,11888
8212,5088,11888
8212,5088,11888
6924,4704,10128
7464,5886,10638
7464,5886,10638
7464,5886,10638
5946,1708,7692
5946,1708,7692
5152,5710,5210
5152,5710,5210
5152,5710,5210
4406,1244,5954
4406,1244,5954
4654,1986,2884
4654,1986,2884
4654,1986,2884
4688,2728,2542
4688,2728,2542
5652,5078,-60
5652,5078,-60
5652,5078,-60
1250,5682,-3294
-3414,4190,3828
-19396,240,32767
-19396,240,32767
-19396,240,32767
-19396,240,32767
-32768,32767,32767
-32768,32767,32767
-32768,32767,32767
-2562,32767,11838
-2562,32767,11838
5310,-2608,16810
5310,-2608,16810
2754,10702,18400
2754,10702,18400
2754,10702,18400
70,4806,12476
70,4806,12476
70,4806,12476
1638,5730,13720
-390,4824,12584
-390,4824,12584
-390,4824,12584
-390,4824,12584
3066,5168,13944
3066,5168,13944
-1740,1712,15888
-1740,1712,15888
350,4372,15468
350,4372,15468
350,4372,15468
